col,Class,Clip,Label
676,Snoring,4-197454-B.ogg,43
677,Mouse click,4-210309-A.ogg,34
678,Breathing,2-66205-A.ogg,2
679,Chainsaw,1-47250-B.ogg,7
680,Church bells,4-125825-A.ogg,9
681,Hen,5-244315-A.ogg,30
682,Sea waves,4-195497-B.ogg,39
683,Engine,5-209992-B.ogg,23
684,Washing machine,5-141683-A.ogg,48
685,Door - wood creaks,5-161270-B.ogg,20
686,Snoring,5-233312-A.ogg,43
687,Thunderstorm,2-39945-B.ogg,44
688,Clock tick,3-170377-A.ogg,12
689,Coughing,1-53663-A.ogg,13
690,Siren,1-76831-C.ogg,41
691,Chainsaw,4-149294-A.ogg,7
692,Hen,4-234879-A.ogg,30
693,Cat,3-95694-A.ogg,6
694,Rain,1-26222-A.ogg,37
695,Clock alarm,3-132340-A.ogg,11
696,Can opening,5-237795-A.ogg,4
697,Car horn,3-155130-A.ogg,5
698,Toilet flush,4-126046-A.ogg,45
699,Helicopter,4-175000-A.ogg,29
700,Can opening,4-264453-A.ogg,4
701,Rain,3-140774-A.ogg,37
702,Washing machine,4-218199-A.ogg,48
703,Drinking - sipping,2-126756-A.ogg,22
704,Pouring water,4-181628-A.ogg,36
705,Sheep,3-20861-A.ogg,40
706,Snoring,3-151557-A.ogg,43
707,Rooster,5-200334-B.ogg,38
708,Sea waves,5-208810-B.ogg,39
709,Crackling fire,2-28314-B.ogg,15
710,Cat,2-110010-A.ogg,6
711,Can opening,5-252248-A.ogg,4
712,Sheep,1-196660-A.ogg,40
713,Drinking - sipping,1-67230-A.ogg,22
714,Chainsaw,3-118657-B.ogg,7
715,Chirping birds,3-155577-A.ogg,8
716,Footsteps,5-263490-A.ogg,25
717,Vacuum cleaner,4-172736-A.ogg,47
718,Can opening,3-171937-A.ogg,4
719,Airplane,3-128512-A.ogg,1
720,Thunderstorm,3-144891-A.ogg,44
721,Water drops,4-188293-B.ogg,49
722,Sea waves,5-219379-B.ogg,39
723,Door knock,3-182025-A.ogg,21
724,Footsteps,3-103599-B.ogg,25
725,Engine,3-141240-A.ogg,23
726,Crickets,5-216213-A.ogg,16
727,Door knock,4-261068-A.ogg,21
728,Glass breaking,5-260433-A.ogg,27
729,Wind,1-51036-A.ogg,50
730,Cow,1-69641-A.ogg,14
731,Clapping,2-57733-A.ogg,10
732,Snoring,5-235874-A.ogg,43
733,Drinking - sipping,5-207836-C.ogg,22
734,Clock tick,5-209833-A.ogg,12
735,Frog,1-18755-B.ogg,26
736,Chainsaw,1-64398-B.ogg,7
737,Crickets,3-134802-A.ogg,16
738,Can opening,3-155659-A.ogg,4
739,Thunderstorm,3-144891-B.ogg,44
740,Wind,3-246513-A.ogg,50
741,Crackling fire,3-147965-A.ogg,15
742,Engine,2-78651-A.ogg,23
743,Church bells,1-56907-A.ogg,9
744,Crackling fire,1-17150-A.ogg,15
745,Clapping,5-254160-A.ogg,10
746,Hen,3-187549-B.ogg,30
747,Car horn,5-180156-B.ogg,5
748,Can opening,4-216349-A.ogg,4
749,Snoring,5-244459-A.ogg,43
750,Crickets,4-171823-A.ogg,16
751,Drinking - sipping,4-188595-A.ogg,22
752,Car horn,5-180156-A.ogg,5
753,Pig,5-103415-A.ogg,35
754,Wind,4-163606-A.ogg,50
755,Clock tick,1-35687-A.ogg,12
756,Crow,2-108767-C.ogg,17
757,Wind,3-134699-B.ogg,50
758,Chirping birds,4-159609-B.ogg,8
759,Snoring,3-130998-A.ogg,43
760,Wind,2-104952-A.ogg,50
761,Washing machine,5-223810-A.ogg,48
762,Glass breaking,3-203375-A.ogg,27
763,Footsteps,3-103597-A.ogg,25
764,Snoring,4-197454-B.ogg,43
765,Keyboard typing,4-158653-A.ogg,32
766,Toilet flush,2-84943-A.ogg,45
767,Laughing,4-132803-A.ogg,33
768,Thunderstorm,3-144891-A.ogg,44
769,Engine,2-107228-A.ogg,23
770,Chainsaw,2-50668-A.ogg,7
771,Pouring water,3-108451-B.ogg,36
772,Wind,2-104952-B.ogg,50
773,Glass breaking,5-233605-A.ogg,27
774,Engine,4-186962-A.ogg,23
775,Rain,3-142005-A.ogg,37
776,Sneezing,4-185619-A.ogg,42
777,Insects (flying),2-81970-C.ogg,31
778,Sheep,5-198891-A.ogg,40
779,Breathing,2-95567-A.ogg,2
780,Fireworks,4-119647-A.ogg,24
781,Water drops,2-64963-A.ogg,49
782,Airplane,5-215449-A.ogg,1
783,Thunderstorm,2-39945-C.ogg,44
784,Coughing,1-52266-A.ogg,13
785,Pig,3-253084-A.ogg,35
786,Door - wood creaks,1-51805-G.ogg,20
787,Pouring water,3-161500-A.ogg,36
788,Cat,3-95695-A.ogg,6
789,Clock alarm,4-169508-A.ogg,11
790,Mouse click,2-138257-A.ogg,34
791,Toilet flush,5-202540-A.ogg,45
792,Laughing,3-126113-A.ogg,33
793,Keyboard typing,4-167155-A.ogg,32
794,Wind,4-163609-A.ogg,50
795,Pig,5-103422-A.ogg,35
796,Rain,4-161127-A.ogg,37
797,Dog,2-114280-A.ogg,19
798,Coughing,1-30830-A.ogg,13
799,Hand saw,5-250258-A.ogg,28
800,Siren,3-58772-A.ogg,41
801,Dog,4-199261-A.ogg,19
802,Wind,2-109374-A.ogg,50
803,Vacuum cleaner,5-188365-A.ogg,47
804,Sea waves,2-132157-B.ogg,39
805,Can opening,5-244327-A.ogg,4
806,Rooster,5-233160-A.ogg,38
807,Dog,5-203128-A.ogg,19
808,Chirping birds,4-216211-A.ogg,8
809,Siren,4-67358-A.ogg,41
810,Siren,2-70936-A.ogg,41
811,Helicopter,5-220955-A.ogg,29
812,Engine,3-128160-A.ogg,23
813,Crying baby,5-151085-A.ogg,18
814,Church bells,5-179294-A.ogg,9
815,Hen,1-18074-A.ogg,30
816,Footsteps,4-194981-A.ogg,25
817,Sheep,3-197408-A.ogg,40
818,Helicopter,2-37806-C.ogg,29
819,Engine,5-235507-A.ogg,23
820,Thunderstorm,3-103051-C.ogg,44
821,Washing machine,4-218199-G.ogg,48
822,Fireworks,3-119120-D.ogg,24
823,Washing machine,3-156391-A.ogg,48
824,Water drops,5-254832-A.ogg,49
825,Door knock,1-81001-A.ogg,21
826,Crying baby,5-198411-C.ogg,18
827,Door knock,5-250026-B.ogg,21
828,Helicopter,2-188822-B.ogg,29
829,Church bells,5-204741-A.ogg,9
830,Cow,2-103427-A.ogg,14
831,Drinking - sipping,1-85909-A.ogg,22
832,Engine,1-61261-A.ogg,23
833,Engine,4-171652-A.ogg,23
834,Clock alarm,4-204684-A.ogg,11
835,Cat,1-47819-B.ogg,6
836,Crackling fire,4-181563-A.ogg,15
837,Clapping,1-115920-A.ogg,10
838,Airplane,5-251957-A.ogg,1
839,Vacuum cleaner,2-141681-A.ogg,47
840,Crickets,3-129678-A.ogg,16
841,Breathing,2-50774-A.ogg,2
842,Washing machine,3-156391-A.ogg,48
843,Hand saw,4-251645-A.ogg,28
844,Pig,1-208757-A.ogg,35
845,Cat,1-56380-A.ogg,6
846,Crickets,5-215179-A.ogg,16
847,Rooster,2-65750-A.ogg,38
848,Engine,5-243773-A.ogg,23
849,Snoring,5-244459-A.ogg,43
850,Hen,4-232495-A.ogg,30
851,Chirping birds,1-38560-A.ogg,8
852,Laughing,3-152912-A.ogg,33
853,Toilet flush,5-197913-A.ogg,45
854,Sneezing,5-220027-A.ogg,42
855,Brushing teeth,1-67432-A.ogg,3
856,Can opening,2-85471-A.ogg,4
857,Cat,5-169983-A.ogg,6
858,Rooster,4-164064-B.ogg,38
859,Footsteps,1-155858-D.ogg,25
860,Sheep,4-188703-D.ogg,40
861,Brushing teeth,3-126391-B.ogg,3
862,Mouse click,3-158056-A.ogg,34
863,Rain,2-82367-A.ogg,37
864,Airplane,2-98866-A.ogg,1
865,Crackling fire,3-65748-A.ogg,15
866,Door - wood creaks,2-87780-A.ogg,20
867,Clock alarm,2-104476-A.ogg,11
868,Dog,4-199261-A.ogg,19
869,Thunderstorm,5-195557-A.ogg,44
870,Crow,3-117293-A.ogg,17
871,Toilet flush,4-145006-A.ogg,45
872,Clapping,3-130330-A.ogg,10
873,Airplane,3-143560-A.ogg,1
874,Car horn,3-146697-A.ogg,5
875,Hen,5-248341-B.ogg,30
876,Sea waves,2-133863-A.ogg,39
877,Clock tick,4-181035-A.ogg,12
878,Helicopter,1-172649-F.ogg,29
879,Thunderstorm,2-39443-A.ogg,44
880,Drinking - sipping,4-210593-A.ogg,22
881,Wind,4-163609-B.ogg,50
882,Footsteps,5-263491-A.ogg,25
883,Crackling fire,1-17150-A.ogg,15
884,Sneezing,2-128631-A.ogg,42
885,Glass breaking,2-173607-A.ogg,27
886,Helicopter,4-175000-A.ogg,29
887,Hen,2-120586-A.ogg,30
888,Toilet flush,3-112356-A.ogg,45
889,Laughing,4-132810-A.ogg,33
890,Vacuum cleaner,3-159347-A.ogg,47
891,Frog,5-189795-A.ogg,26
892,Train,2-122066-B.ogg,46
893,Laughing,5-242932-A.ogg,33
894,Chirping birds,3-181132-A.ogg,8
895,Laughing,3-107123-A.ogg,33
896,Pig,3-253084-B.ogg,35
897,Sea waves,5-213077-A.ogg,39
898,Door - wood creaks,3-101381-B.ogg,20
899,Crackling fire,3-145774-A.ogg,15
900,Helicopter,5-205898-A.ogg,29
901,Cow,5-194899-D.ogg,14
902,Sneezing,2-93030-A.ogg,42
903,Door knock,1-103999-A.ogg,21
904,Can opening,3-155659-A.ogg,4
905,Footsteps,4-198962-B.ogg,25
906,Clock tick,2-140147-A.ogg,12
907,Hand saw,5-253094-D.ogg,28
908,Snoring,1-20545-A.ogg,43
909,Water drops,2-139749-A.ogg,49
910,Airplane,1-43807-A.ogg,1
911,Drinking - sipping,2-92978-A.ogg,22
912,Crickets,4-195805-A.ogg,16
913,Coughing,1-63679-A.ogg,13
914,Snoring,3-151557-B.ogg,43
915,Crow,4-136381-A.ogg,17
916,Wind,1-69760-A.ogg,50
917,Car horn,3-243726-A.ogg,5
918,Cat,3-95695-A.ogg,6
919,Train,4-165606-A.ogg,46
920,Hen,1-72229-A.ogg,30
921,Clock tick,4-198965-A.ogg,12
922,Chirping birds,2-72547-C.ogg,8
923,Chirping birds,4-187769-A.ogg,8
924,Car horn,5-180156-C.ogg,5
925,Pig,2-158746-A.ogg,35
926,Train,5-199284-A.ogg,46
927,Snoring,4-183882-B.ogg,43
928,Cat,3-95695-B.ogg,6
929,Sheep,1-121951-A.ogg,40
930,Chainsaw,1-47250-B.ogg,7
931,Church bells,5-204741-A.ogg,9
932,Hen,3-164216-B.ogg,30
933,Wind,1-69760-A.ogg,50
934,Glass breaking,3-216284-A.ogg,27
935,Laughing,1-36164-A.ogg,33
936,Thunderstorm,4-165813-B.ogg,44
937,Engine,1-50454-A.ogg,23
938,Washing machine,3-188726-A.ogg,48
939,Cow,3-160993-A.ogg,14
940,Rooster,5-200339-A.ogg,38
941,Clock tick,3-164688-A.ogg,12
942,Pouring water,1-61221-A.ogg,36
943,Can opening,4-187384-A.ogg,4
944,Car horn,5-179866-A.ogg,5
945,Crow,4-145081-A.ogg,17
946,Pouring water,4-187504-B.ogg,36
947,Crying baby,4-167077-C.ogg,18
948,Breathing,4-198025-A.ogg,2
949,Fireworks,3-119120-A.ogg,24
950,Coughing,1-19111-A.ogg,13
951,Crackling fire,5-213802-A.ogg,15
952,Chainsaw,2-68391-A.ogg,7
953,Clapping,2-76408-A.ogg,10
954,Siren,4-80761-A.ogg,41
955,Footsteps,5-234263-A.ogg,25
956,Cow,1-16568-A.ogg,14
957,Rooster,3-107219-A.ogg,38
958,Toilet flush,5-177034-A.ogg,45
959,Fireworks,5-160614-F.ogg,24
960,Crow,2-108767-A.ogg,17
961,Church bells,4-125825-A.ogg,9
962,Snoring,4-184237-A.ogg,43
963,Brushing teeth,5-185516-A.ogg,3
964,Crackling fire,4-182369-A.ogg,15
965,Pouring water,5-215634-A.ogg,36
966,Snoring,3-130998-B.ogg,43
967,Clock alarm,2-102435-A.ogg,11
968,Crow,2-108767-C.ogg,17
969,Breathing,3-144128-A.ogg,2
970,Clock alarm,5-234247-A.ogg,11
971,Car horn,4-178402-A.ogg,5
972,Church bells,5-179294-A.ogg,9
973,Vacuum cleaner,4-146200-A.ogg,47
974,Laughing,5-263775-B.ogg,33
975,Pig,3-253084-A.ogg,35
976,Helicopter,5-191131-A.ogg,29
977,Rooster,3-134049-A.ogg,38
978,Can opening,5-244327-A.ogg,4
979,Wind,4-163608-B.ogg,50
980,Clock alarm,3-120526-A.ogg,11
981,Wind,3-117504-B.ogg,50
982,Pig,3-253084-C.ogg,35
983,Door knock,3-170574-A.ogg,21
984,Snoring,4-180337-A.ogg,43
985,Clock tick,4-179984-A.ogg,12
986,Crying baby,1-211527-C.ogg,18
987,Mouse click,5-237315-A.ogg,34
988,Insects (flying),1-46938-B.ogg,31
989,Chirping birds,1-38559-A.ogg,8
990,Church bells,2-59566-A.ogg,9
991,Crickets,1-80840-A.ogg,16
992,Sneezing,1-47273-A.ogg,42
993,Drinking - sipping,5-204114-A.ogg,22
994,Sneezing,1-54505-A.ogg,42
995,Clock alarm,2-104475-A.ogg,11
996,Washing machine,4-218199-B.ogg,48
997,Chirping birds,5-243448-A.ogg,8
998,Wind,4-144083-C.ogg,50
999,Crickets,3-163607-A.ogg,16
1000,Sea waves,1-91359-A.ogg,39
1001,Crying baby,2-66637-A.ogg,18
1002,Laughing,4-181599-A.ogg,33
1003,Thunderstorm,2-104105-B.ogg,44
1004,Door knock,3-152594-A.ogg,21
1005,Sheep,4-188703-D.ogg,40
1006,Clock tick,2-119748-A.ogg,12
1007,Dog,4-191687-A.ogg,19
1008,Clock alarm,2-89516-A.ogg,11
1009,Cow,2-103427-A.ogg,14
1010,Cow,1-77241-A.ogg,14
1011,Crickets,2-110613-A.ogg,16
1012,Hand saw,3-102583-B.ogg,28
1013,Brushing teeth,4-154405-A.ogg,3
1014,Dog,4-194754-A.ogg,19
1015,Glass breaking,1-88807-A.ogg,27
1016,Frog,2-32834-A.ogg,26
1017,Cow,1-77241-A.ogg,14
1018,Sheep,1-57795-A.ogg,40
1019,Hen,2-157488-A.ogg,30
1020,Train,1-64473-A.ogg,46
1021,Sea waves,2-137162-A.ogg,39
1022,Fireworks,4-119648-B.ogg,24
1023,Sea waves,4-195497-A.ogg,39
1024,Siren,4-111671-A.ogg,41
1025,Frog,2-52085-B.ogg,26
1026,Cow,2-103426-A.ogg,14
1027,Airplane,4-161103-A.ogg,1
1028,Sneezing,3-148330-A.ogg,42
1029,Sheep,4-188703-A.ogg,40
1030,Vacuum cleaner,5-212054-A.ogg,47
1031,Crickets,4-194246-A.ogg,16
1032,Wind,5-179496-A.ogg,50
1033,Mouse click,3-172179-A.ogg,34
1034,Glass breaking,3-203374-A.ogg,27
1035,Chirping birds,3-155584-A.ogg,8
1036,Frog,4-99644-D.ogg,26
1037,Coughing,2-98676-A.ogg,13
1038,Vacuum cleaner,2-141682-A.ogg,47
1039,Laughing,3-152912-A.ogg,33
1040,Footsteps,5-234855-A.ogg,25
1041,Sneezing,1-59324-A.ogg,42
1042,Chirping birds,1-100038-A.ogg,8
1043,Water drops,2-68595-A.ogg,49
1044,Cat,4-161303-B.ogg,6
1045,Pig,2-166644-A.ogg,35
1046,Vacuum cleaner,5-263902-A.ogg,47
1047,Crying baby,3-151081-B.ogg,18
1048,Glass breaking,4-204123-A.ogg,27
1049,Laughing,1-72695-A.ogg,33
1050,Clock alarm,2-102435-A.ogg,11
1051,Engine,3-146186-A.ogg,23
1052,Door knock,2-120218-B.ogg,21
1053,Pouring water,5-212736-A.ogg,36
1054,Crying baby,2-151079-A.ogg,18
1055,Breathing,3-144128-B.ogg,2
1056,Chainsaw,3-118972-B.ogg,7
1057,Chirping birds,2-122616-A.ogg,8
1058,Can opening,1-68670-A.ogg,4
1059,Crow,5-213836-B.ogg,17
1060,Toilet flush,3-108677-A.ogg,45
1061,Drinking - sipping,4-188191-C.ogg,22
1062,Door knock,4-187284-A.ogg,21
1063,Crackling fire,2-18766-A.ogg,15
1064,Fireworks,2-117615-D.ogg,24
1065,Coughing,4-171396-A.ogg,13
1066,Pouring water,4-182839-A.ogg,36
1067,Thunderstorm,3-123224-A.ogg,44
1068,Keyboard typing,5-205090-A.ogg,32
1069,Pouring water,5-207781-A.ogg,36
1070,Church bells,5-219044-A.ogg,9
1071,Door - wood creaks,2-123712-A.ogg,20
1072,Pig,3-257858-A.ogg,35
1073,Church bells,4-125825-B.ogg,9
1074,Drinking - sipping,4-188191-A.ogg,22
1075,Crow,3-124925-A.ogg,17
1076,Rooster,3-137152-A.ogg,38
1077,Door knock,1-81001-B.ogg,21
1078,Hand saw,2-60180-B.ogg,28
1079,Crackling fire,5-215658-A.ogg,15
1080,Dog,1-97392-A.ogg,19
1081,Sea waves,1-39901-A.ogg,39
1082,Snoring,3-151557-A.ogg,43
1083,Dog,5-9032-A.ogg,19
1084,Cat,3-146972-A.ogg,6
1085,Rooster,2-71162-A.ogg,38
1086,Crying baby,3-152007-C.ogg,18
1087,Chirping birds,5-243450-A.ogg,8
1088,Hand saw,3-102583-A.ogg,28
1089,Door knock,3-180147-A.ogg,21
1090,Helicopter,2-37806-D.ogg,29
1091,Thunderstorm,3-103051-A.ogg,44
1092,Train,3-138212-A.ogg,46
1093,Fireworks,3-119120-C.ogg,24
1094,Laughing,4-167571-A.ogg,33
1095,Crying baby,1-211527-B.ogg,18
1096,Cow,1-77160-A.ogg,14
1097,Brushing teeth,1-58923-A.ogg,3
1098,Door knock,2-134915-A.ogg,21
1099,Laughing,3-118487-A.ogg,33
1100,Sneezing,3-148330-A.ogg,42
1101,Breathing,3-108160-A.ogg,2
1102,Vacuum cleaner,5-212059-A.ogg,47
1103,Keyboard typing,2-120333-A.ogg,32
1104,Toilet flush,3-100018-A.ogg,45
1105,Breathing,3-144128-A.ogg,2
1106,Can opening,1-41615-A.ogg,4
1107,Chirping birds,4-159609-B.ogg,8
1108,Airplane,1-43807-D.ogg,1
1109,Pig,5-103421-A.ogg,35
1110,Chainsaw,2-77945-B.ogg,7
1111,Door knock,3-170574-A.ogg,21
1112,Engine,5-209992-B.ogg,23
1113,Sea waves,3-144827-A.ogg,39
1114,Chainsaw,4-165823-A.ogg,7
1115,Can opening,3-170002-A.ogg,4
1116,Rain,3-143929-A.ogg,37
1117,Helicopter,3-68630-B.ogg,29
1118,Chainsaw,5-185579-B.ogg,7
1119,Crackling fire,2-18766-A.ogg,15
1120,Chainsaw,5-170338-B.ogg,7
1121,Chirping birds,4-182795-A.ogg,8
1122,Can opening,2-81112-A.ogg,4
1123,Crickets,4-172143-A.ogg,16
1124,Laughing,5-244526-A.ogg,33
1125,Fireworks,5-160614-A.ogg,24
1126,Washing machine,2-102567-A.ogg,48
1127,Clock tick,2-88724-A.ogg,12
1128,Train,5-197118-A.ogg,46
1129,Dog,5-213855-A.ogg,19
1130,Water drops,3-164594-A.ogg,49
1131,Clock alarm,4-189332-A.ogg,11
1132,Drinking - sipping,2-102581-B.ogg,22
1133,Rain,3-140774-A.ogg,37
1134,Hand saw,3-97909-B.ogg,28
1135,Train,5-198600-A.ogg,46
1136,Vacuum cleaner,1-60460-A.ogg,47
1137,Drinking - sipping,2-94807-A.ogg,22
1138,Cow,2-117795-B.ogg,14
1139,Coughing,5-204604-A.ogg,13
1140,Cow,2-103428-A.ogg,14
1141,Church bells,5-201170-A.ogg,9
1142,Washing machine,4-218199-C.ogg,48
1143,Clock alarm,1-72195-B.ogg,11
1144,Rooster,5-194930-A.ogg,38
1145,Drinking - sipping,2-122763-A.ogg,22
1146,Vacuum cleaner,5-182007-A.ogg,47
1147,Glass breaking,4-204121-A.ogg,27
1148,Train,1-54065-A.ogg,46
1149,Rooster,3-116135-A.ogg,38
1150,Drinking - sipping,3-140323-A.ogg,22
1151,Door knock,5-250026-A.ogg,21
1152,Coughing,5-209719-A.ogg,13
1153,Hand saw,4-102844-B.ogg,28
1154,Hand saw,4-102844-B.ogg,28
1155,Wind,4-144083-A.ogg,50
1156,Glass breaking,2-141563-A.ogg,27
1157,Vacuum cleaner,1-19872-B.ogg,47
1158,Mouse click,5-244651-A.ogg,34
1159,Frog,1-18755-A.ogg,26
1160,Crickets,4-195707-A.ogg,16
1161,Clock alarm,1-74517-A.ogg,11
1162,Fireworks,1-160563-A.ogg,24
1163,Crickets,4-202749-A.ogg,16
1164,Drinking - sipping,4-188191-B.ogg,22
1165,Wind,3-134699-C.ogg,50
1166,Sneezing,4-171519-A.ogg,42
1167,Dog,4-182395-A.ogg,19
1168,Footsteps,1-155858-A.ogg,25
1169,Clock tick,1-42139-A.ogg,12
1170,Crackling fire,2-61311-A.ogg,15
1171,Car horn,1-28808-A.ogg,5
1172,Clock tick,1-62849-A.ogg,12
1173,Clock tick,4-181865-A.ogg,12
1174,Crow,3-129264-A.ogg,17
1175,Sneezing,5-202220-A.ogg,42
1176,Hand saw,5-253094-B.ogg,28
1177,Crying baby,3-151081-A.ogg,18
1178,Crying baby,2-107351-A.ogg,18
1179,Rooster,1-34119-A.ogg,38
1180,Hand saw,5-253101-C.ogg,28
1181,Water drops,4-168155-A.ogg,49
1182,Vacuum cleaner,2-141681-B.ogg,47
1183,Toilet flush,4-119720-A.ogg,45
1184,Toilet flush,4-152958-A.ogg,45
1185,Siren,5-117118-A.ogg,41
1186,Mouse click,4-195305-A.ogg,34
1187,Cat,4-133047-C.ogg,6
1188,Washing machine,2-102567-D.ogg,48
1189,Car horn,4-191015-A.ogg,5
1190,Train,4-165845-A.ogg,46
1191,Sheep,4-196671-B.ogg,40
1192,Wind,2-104952-B.ogg,50
1193,Cat,1-47819-A.ogg,6
1194,Breathing,2-54962-A.ogg,2
1195,Drinking - sipping,3-133977-A.ogg,22
1196,Toilet flush,5-201664-A.ogg,45
1197,Helicopter,4-193480-B.ogg,29
1198,Vacuum cleaner,3-152020-C.ogg,47
1199,Frog,3-70962-B.ogg,26
1200,Door knock,2-118624-A.ogg,21
1201,Siren,2-70939-A.ogg,41
1202,Footsteps,2-209472-A.ogg,25
1203,Rain,3-157487-A.ogg,37
1204,Sneezing,1-54505-A.ogg,42
1205,Hand saw,3-102583-C.ogg,28
1206,Can opening,4-175025-A.ogg,4
1207,Keyboard typing,2-99795-A.ogg,32
1208,Keyboard typing,1-61212-A.ogg,32
1209,Can opening,3-166546-B.ogg,4
1210,Siren,4-121532-A.ogg,41
1211,Crickets,4-163697-A.ogg,16
1212,Can opening,2-83688-A.ogg,4
1213,Insects (flying),4-182314-B.ogg,31
1214,Hen,5-248341-A.ogg,30
1215,Wind,3-134699-C.ogg,50
1216,Hen,1-72229-A.ogg,30
1217,Clock alarm,2-117116-A.ogg,11
1218,Door knock,2-133889-A.ogg,21
1219,Wind,4-144083-B.ogg,50
1220,Sneezing,2-130979-A.ogg,42
1221,Brushing teeth,1-58923-B.ogg,3
1222,Rooster,4-164064-C.ogg,38
1223,Fireworks,2-165801-A.ogg,24
1224,Car horn,3-145577-A.ogg,5
1225,Sneezing,4-184434-A.ogg,42
1226,Airplane,3-128512-B.ogg,1
1227,Drinking - sipping,4-188191-C.ogg,22
1228,Chirping birds,2-108761-A.ogg,8
1229,Rooster,2-95258-B.ogg,38
1230,Fireworks,1-160563-B.ogg,24
1231,Crickets,2-125875-A.ogg,16
1232,Sea waves,3-144827-B.ogg,39
1233,Thunderstorm,2-39441-A.ogg,44
1234,Insects (flying),3-110913-A.ogg,31
1235,Crow,4-159426-A.ogg,17
1236,Clapping,4-189833-A.ogg,10
1237,Clock tick,1-57163-A.ogg,12
1238,Laughing,4-167571-A.ogg,33
1239,Fireworks,2-117617-A.ogg,24
1240,Door knock,4-186518-A.ogg,21
1241,Chirping birds,5-243450-A.ogg,8
1242,Mouse click,4-202298-A.ogg,34
1243,Thunderstorm,2-104105-A.ogg,44
1244,Thunderstorm,1-115521-A.ogg,44
1245,Hand saw,5-253094-A.ogg,28
1246,Cat,1-34094-B.ogg,6
1247,Door knock,5-218980-A.ogg,21
1248,Frog,2-32515-A.ogg,26
1249,Crackling fire,1-17565-A.ogg,15
1250,Rain,4-160999-A.ogg,37
1251,Airplane,5-251962-A.ogg,1
1252,Glass breaking,2-141563-A.ogg,27
1253,Drinking - sipping,2-121978-A.ogg,22
1254,Frog,2-32515-A.ogg,26
1255,Door - wood creaks,2-87780-A.ogg,20
1256,Toilet flush,2-70280-A.ogg,45
1257,Brushing teeth,2-85434-A.ogg,3
1258,Hen,5-248341-C.ogg,30
1259,Engine,3-141240-B.ogg,23
1260,Chainsaw,5-216370-B.ogg,7
1261,Insects (flying),4-191246-B.ogg,31
1262,Insects (flying),5-198278-B.ogg,31
1263,Airplane,3-115387-B.ogg,1
1264,Airplane,2-78799-A.ogg,1
1265,Thunderstorm,1-24524-B.ogg,44
1266,Thunderstorm,5-195557-A.ogg,44
1267,Drinking - sipping,1-67230-A.ogg,22
1268,Coughing,2-87412-A.ogg,13
1269,Breathing,1-36402-A.ogg,2
1270,Pig,5-103421-A.ogg,35
1271,Train,3-136451-A.ogg,46
1272,Crying baby,5-198411-A.ogg,18
1273,Keyboard typing,1-84393-A.ogg,32
1274,Dog,2-122104-A.ogg,19
1275,Snoring,2-80313-A.ogg,43
1276,Helicopter,4-161579-B.ogg,29
1277,Door knock,4-182041-A.ogg,21
1278,Door - wood creaks,2-123712-A.ogg,20
1279,Sneezing,3-156558-A.ogg,42
1280,Cow,4-174860-B.ogg,14
1281,Crying baby,2-107351-A.ogg,18
1282,Crickets,1-80841-A.ogg,16
1283,Hand saw,1-9887-B.ogg,28
1284,Laughing,4-133674-A.ogg,33
1285,Clapping,4-189838-A.ogg,10
1286,Rain,1-21189-A.ogg,37
1287,Pouring water,2-102414-C.ogg,36
1288,Toilet flush,5-182404-A.ogg,45
1289,Sheep,3-140199-D.ogg,40
1290,Train,5-197121-A.ogg,46
1291,Water drops,5-257349-A.ogg,49
1292,Hand saw,4-198360-A.ogg,28
1293,Crackling fire,5-186924-A.ogg,15
1294,Wind,1-51037-A.ogg,50
1295,Keyboard typing,2-99796-A.ogg,32
1296,Crow,1-96950-B.ogg,17
1297,Clapping,5-262957-A.ogg,10
1298,Clock alarm,3-148297-A.ogg,11
1299,Breathing,3-166125-B.ogg,2
1300,Brushing teeth,4-172500-C.ogg,3
1301,Cow,4-213915-C.ogg,14
1302,Frog,4-99193-B.ogg,26
1303,Engine,4-195451-A.ogg,23
1304,Mouse click,3-172179-A.ogg,34
1305,Crying baby,1-211527-B.ogg,18
1306,Can opening,4-179836-A.ogg,4
1307,Wind,2-109371-C.ogg,50
1308,Clock alarm,5-223176-A.ogg,11
1309,Water drops,5-259180-A.ogg,49
1310,Footsteps,4-194979-A.ogg,25
1311,Water drops,3-164592-A.ogg,49
1312,Door - wood creaks,3-103401-C.ogg,20
1313,Rooster,4-170078-A.ogg,38
1314,Snoring,2-110417-A.ogg,43
1315,Pouring water,1-51436-A.ogg,36
1316,Laughing,4-155670-A.ogg,33
1317,Clock alarm,5-219242-A.ogg,11
1318,Hand saw,3-208820-A.ogg,28
1319,Airplane,3-193767-A.ogg,1
1320,Cat,4-161303-B.ogg,6
1321,Sheep,4-188703-B.ogg,40
1322,Airplane,2-105270-A.ogg,1
1323,Rain,4-160999-A.ogg,37
1324,Siren,1-31482-A.ogg,41
1325,Chirping birds,1-54918-B.ogg,8
1326,Insects (flying),2-82077-A.ogg,31
1327,Train,4-178881-A.ogg,46
1328,Helicopter,1-172649-A.ogg,29
1329,Laughing,2-109759-B.ogg,33
1330,Crying baby,5-198411-D.ogg,18
1331,Washing machine,2-121909-A.ogg,48
1332,Pouring water,4-187504-A.ogg,36
1333,Clapping,4-189832-A.ogg,10
1334,Door knock,5-250026-B.ogg,21
1335,Vacuum cleaner,5-231551-A.ogg,47
